127.0.0.1 - - [09/Apr/2015:18:55:52 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [09/Apr/2015:18:55:57 +0530] "GET /e-canvass/jsp/myposts.jsp HTTP/1.1" 200 1114
0:0:0:0:0:0:0:1 - - [09/Apr/2015:18:55:58 +0530] "GET /e-canvass/images/3.jpg HTTP/1.1" 200 336174
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:00:05 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:00:07 +0530] "POST /e-canvass/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:00:07 +0530] "GET /e-canvass/jsp/student.jsp HTTP/1.1" 200 2310
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:00:16 +0530] "GET /e-canvass/jsp/posts.jsp?217 HTTP/1.1" 200 4807
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:00:48 +0530] "POST /e-canvass/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:00:49 +0530] "GET /e-canvass/jsp/Teacher.jsp HTTP/1.1" 200 2879
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:00:54 +0530] "GET /e-canvass/jsp/myposts.jsp HTTP/1.1" 200 4822
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:05:06 +0530] "GET /e-canvass/jsp/Teacher.jsp HTTP/1.1" 200 2879
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:05:09 +0530] "GET /e-canvass/jsp/posts.jsp?007 HTTP/1.1" 200 1114
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:05:11 +0530] "GET /e-canvass/jsp/Teacher.jsp HTTP/1.1" 200 2879
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:05:13 +0530] "GET /e-canvass/jsp/myposts.jsp HTTP/1.1" 200 4822
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:14:07 +0530] "GET /e-canvass/jsp/myposts.jsp HTTP/1.1" 200 4821
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:14:08 +0530] "GET /e-canvass/bootstrap/bootstrap-responsive.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:14:08 +0530] "GET /e-canvass/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:14:08 +0530] "GET /e-canvass/bootstrap/bootstrap-responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:14:08 +0530] "GET /e-canvass/bootstrap/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:14:08 +0530] "GET /e-canvass/bootstrap/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:14:08 +0530] "GET /e-canvass/bootstrap/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:14:08 +0530] "GET /e-canvass/bootstrap/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:14:28 +0530] "GET /e-canvass/jsp/myposts.jsp HTTP/1.1" 200 4822
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:14:28 +0530] "GET /e-canvass/bootstrap/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:14:28 +0530] "GET /e-canvass/bootstrap/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:14:28 +0530] "GET /e-canvass/bootstrap/bootstrap-responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:14:28 +0530] "GET /e-canvass/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:14:28 +0530] "GET /e-canvass/bootstrap/bootstrap-responsive.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:14:28 +0530] "GET /e-canvass/bootstrap/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:14:28 +0530] "GET /e-canvass/bootstrap/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:16:54 +0530] "GET /e-canvass/jsp/myposts.jsp HTTP/1.1" 200 4953
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:17:43 +0530] "GET /e-canvass/jsp/myposts.jsp HTTP/1.1" 200 4890
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:17:43 +0530] "GET /e-canvass/bootstrap/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:17:43 +0530] "GET /e-canvass/bootstrap/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:17:43 +0530] "GET /e-canvass/bootstrap/bootstrap-responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:17:43 +0530] "GET /e-canvass/bootstrap/bootstrap-responsive.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:17:43 +0530] "GET /e-canvass/bootstrap/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:17:43 +0530] "GET /e-canvass/bootstrap/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:17:43 +0530] "GET /e-canvass/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:19:26 +0530] "GET /e-canvass/jsp/myposts.jsp HTTP/1.1" 200 4948
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:19:26 +0530] "GET /e-canvass/bootstrap/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:19:26 +0530] "GET /e-canvass/bootstrap/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:19:26 +0530] "GET /e-canvass/bootstrap/bootstrap-responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:19:26 +0530] "GET /e-canvass/bootstrap/bootstrap-responsive.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:19:26 +0530] "GET /e-canvass/bootstrap/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:19:26 +0530] "GET /e-canvass/bootstrap/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:19:26 +0530] "GET /e-canvass/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2015:19:20:19 +0530] "GET /e-canvass/jsp/myposts.jsp HTTP/1.1" 200 4956
